sentence,references
It has demonstrated the ability to achieve over 75% model size reduction without significant accuracy loss [1],[1] Comparative Study of Parameter Selection for Enhanced Edge Inference for  a Multi-Output Regression model for Head Pose Estimation
"Recent developments have enhanced this method further, such as Magnitude Attention-based Dynamic Pruning (MAP), which considers weight importance dynamically during both forward and backward passes [2]",[2] Magnitude Attention-based Dynamic Pruning
"This technique identifies insensitive parameters more accurately, leading to reduced performance degradation at higher pruning levels [3]",[3] Hessian-Aware Pruning and Optimal Neural Implant
"By utilizing metrics like the relative Hessian trace for structured pruning, this method surpasses traditional approaches such as magnitude pruning or movement pruning [4]",[4] Layer-wise Model Pruning based on Mutual Information
"The Gradient-based Language Model Pruner (GBLM-Pruner) exemplifies this approach, using normalized gradients from pretrained LLMs to derive effective pruning metrics [5]",[5] Beyond Size  How Gradients Shape Pruning Decisions in Large Language  Models
"Techniques like Structured Pattern Pruning Using Regularization (SPUR) induce structured patterns through regularization terms, facilitating hardware acceleration and improving inference efficiency [6]",[6] Structured Pattern Pruning Using Regularization
"Probabilistic Masking (ProbMask) addresses challenges in manual tuning of pruning rates by adopting a global criterion within a probability space [7], ensuring optimal sparsity distribution across layers",[7] Effective Sparsification of Neural Networks with Global Sparsity  Constraint
"Cyclical pruning allows erroneously pruned weights to recover during subsequent cycles, enhancing resilience against early incorrect decisions [8]",[8] Cyclical Pruning for Sparse Neural Networks
"Learnable Pruning for Transformer-Based Models (LEAP) adapts pruning thresholds via gradient descent, minimizing the need for extensive hyperparameter tuning [9]",[9] LEAP  Learnable Pruning for Transformer-based Models
"For instance, layer collapse can occur under extreme sparsity conditions, where entire layers become inactive [10]",[10] Is Complexity Required for Neural Network Pruning  A Case Study on  Global Magnitude Pruning
"Additionally, bi-level optimization provides a technically grounded framework combining computational efficiency with enhanced accuracy [11]",[11] Advancing Model Pruning via Bi-level Optimization
"The paper ""Integer or Floating Point: New Outlooks for Low-Bit Quantization on Large Language Models"" demonstrates that weight-only quantization at 4 bits achieves state-of-the-art results with minimal tuning through Mixture of Formats Quantization (MoFQ), selecting optimal formats per layer [12]",[12] Integer or Floating Point  New Outlooks for Low-Bit Quantization on  Large Language Models
"For instance, ""Value-aware Quantization for Training and Inference of Neural Networks"" introduces value-aware quantization, which applies reduced precision to most data while handling outliers in higher precision, minimizing errors under low precision [13]",[13] Value-aware Quantization for Training and Inference of Neural Networks
"The paper ""HAQ: Hardware-Aware Automated Quantization with Mixed Precision"" uses reinforcement learning to determine quantization policies based on hardware feedback, achieving latency reductions of 1.4–1.95x and energy savings of 1.9x compared to fixed 8-bit quantization [14]",[14] HAQ  Hardware-Aware Automated Quantization with Mixed Precision
"Research such as ""Understanding INT4 Quantization for Transformer Models: Latency Speedup, Composability, and Failure Cases"" investigates 4-bit quantization's feasibility for transformer-based models, showing substantial speedups with minor accuracy degradation for some models, though it may fail for others depending on architecture and task [15]","[15] Understanding INT4 Quantization for Transformer Models  Latency Speedup,  Composability, and Failure Cases"
"Sharpness- and quantization-aware training (SQuAT), introduced in ""SQuAT: Sharpness- and Quantization-Aware Training for BERT,"" promotes convergence to flatter minima during training, enhancing performance under low-bit settings [16]",[16] SQuAT  Sharpness- and Quantization-Aware Training for BERT
"Post-training quantization methods like SPARQ leverage unstructured and dynamic activation sparsity to enhance efficiency further, dynamically examining bits of 8-bit values and choosing windows of 4 bits, allowing practical hardware implementation with minor accuracy degradation [17]",[17] Post-Training Sparsity-Aware Quantization
"Finally, ""The Case for 4-bit Precision: k-bit Inference Scaling Laws"" argues that 4-bit precision balances model size and zero-shot accuracy across LLM architectures optimally, emphasizing the importance of block sizes and quantization data types [18]",[18] The case for 4-bit precision  k-bit Inference Scaling Laws
