sentence,references
"ISAC has emerged as a cornerstone for next-generation wireless networks like 5G-Advanced (5G-A) and 6G, offering significant improvements in spectral efficiency, energy efficiency, and cost reduction [1]",[1] Towards Integrated Sensing and Communications for 6G  A Standardization  Perspective
"However, advances in technologies such as massive MIMO, millimeter-wave communications, and reconfigurable intelligent surfaces (RIS) have made it feasible to merge these domains into a cohesive architecture [2]","[2] A Survey on Integrated Sensing and Communication with Intelligent  Metasurfaces  Trends, Challenges, and Opportunities"
"While these methods improved efficiency to some extent, they fell short of fully exploiting the potential gains achievable through deeper integration [3]",[3] Towards Distributed and Intelligent Integrated Sensing and  Communications for 6G Networks
"Key enabling technologies such as beamforming, network densification, and ultra-dense small cell deployments supported enhanced sensing alongside robust communication services [4]",[4] Practical Issues and Challenges in CSI-based Integrated Sensing and  Communication
Applications ranging from autonomous driving to smart cities rely on accurate real-time information provided by sophisticated sensors integrated into communication infrastructures [5],"[5] Integrated Sensing and Communication based Outdoor Multi-Target  Detection, Tracking and Localization in Practical 5G Networks"
"Additionally, the growing emphasis on sustainability ensures that new developments prioritize energy-efficient designs—an aspect naturally supported by ISAC's inherent ability to reduce redundant hardware components [6]",[6] MaxRay  A Raytracing-based Integrated Sensing and Communication  Framework
"Traditional performance metrics used independently may no longer suffice; instead, novel unified frameworks incorporating mutual information (MI) as a common metric become essential [7]",[7] Integrated Sensing and Communications  A Mutual Information-Based  Framework
"Addressing issues related to interference management, hardware limitations, and standardization efforts remains critical for successful widespread adoption [8]",[8] Rethinking the Performance of ISAC System  From Efficiency and Utility  Perspectives
Recent advances highlight the importance of multi-domain cooperation mechanisms involving multiple users across various frequency bands working collaboratively to maximize overall system performance [9],[9] Integrated Sensing and Communication with Multi-Domain Cooperation
"Building upon the transition from separate communication and sensing architectures discussed earlier, ISAC achieves enhanced spectral efficiency by enabling both functions to operate within the same spectrum [2]","[2] A Survey on Integrated Sensing and Communication with Intelligent  Metasurfaces  Trends, Challenges, and Opportunities"
"By integrating both functionalities into a single system, ISAC minimizes the need for additional hardware components such as antennas, RF chains, and processing units [1]",[1] Towards Integrated Sensing and Communications for 6G  A Standardization  Perspective
"This integration streamlines design, lowers manufacturing costs, and enhances energy efficiency through shared hardware usage [8]",[8] Rethinking the Performance of ISAC System  From Efficiency and Utility  Perspectives
Vehicles equipped with ISAC systems can simultaneously communicate with roadside infrastructure and other vehicles while performing real-time environmental sensing [10],[10] Vehicular Behavior-Aware Beamforming Design for Integrated Sensing and  Communication Systems
"ISAC integrates communication and sensing into a unified framework, empowering IoT systems with enhanced operational efficiency [11]",[11] Integrated Sensing and Communications for IoT  Synergies with Key 6G  Technology Enablers
ISAC systems can revolutionize smart city operations by enabling intelligent traffic management systems that combine real-time vehicle tracking with adaptive signal control [12],[12] From Data to Action  Exploring AI and IoT-driven Solutions for Smarter  Cities
"RIS empowers ISAC systems by dynamically controlling electromagnetic wave propagation, improving coverage, and reducing interference [13]",[13] Intelligent Reflecting Surface assisted Integrated Sensing and  Communication System
"This synergy between ISAC and RIS opens up new possibilities for enhancing both communication and sensing performance, particularly in challenging environments such as high-speed railway systems or urban canyons [14]",[14] RIS-assisted High-Speed Railway Integrated Sensing and Communication  System
"As part of the International Telecommunication Union's (ITU) vision for IMT-2030/6G, ISAC is expected to address the increasing demands for ubiquitous communication and high-precision sensing [1]",[1] Towards Integrated Sensing and Communications for 6G  A Standardization  Perspective
"Through innovations such as holographic ISAC and semantic communications, the technology aligns with broader goals of achieving higher spectral efficiency, reduced latency, and improved energy efficiency in next-generation networks [2]","[2] A Survey on Integrated Sensing and Communication with Intelligent  Metasurfaces  Trends, Challenges, and Opportunities"
Research into capacity-distortion tradeoffs under correlated sensing and channel states highlights the importance of optimizing ISAC designs to balance competing objectives effectively [15],[15] Information-Theoretic Limits of Integrated Sensing and Communication  with Correlated Sensing and Channel States for Vehicular Networks
"Such insights guide practical implementations and underscore the need for continuous innovation in waveform design, beamforming techniques, and interference management strategies [16]",[16] Interference Management for Integrated Sensing and Communication  Systems  A Survey
"A key concept is spectrum sharing, where the same frequency bands are utilized for both communication and sensing functions [5]","[5] Integrated Sensing and Communication based Outdoor Multi-Target  Detection, Tracking and Localization in Practical 5G Networks"
"ISAC integrates sensing and communication functions on a single platform, minimizing hardware costs and improving energy efficiency by consolidating resources [17]",[17] Multi-Point Integrated Sensing and Communication  Fusion Model and  Functionality Selection
"For instance, base stations in cellular networks can be transformed into powerful sensors capable of providing high-resolution localization services [18], ensuring seamless performance for both communication and sensing tasks",[18] Networked Sensing in 6G Cellular Networks  Opportunities and Challenges
"Monostatic architectures involve using the same base station (BS) for transmitting and receiving signals, which simplifies deployment but may introduce self-interference issues [19]",[19] Integrated Sensing and Communication in Coordinated Cellular Networks
"To mitigate this limitation, multistatic architectures employ multiple BSs to spatially separate transmission and reception processes, thereby reducing interference [19]",[19] Integrated Sensing and Communication in Coordinated Cellular Networks
Cooperative designs further enhance performance by enabling collaboration among multiple nodes to improve target detection accuracy and localization precision [20],"[20] Cooperative ISAC Networks  Performance Analysis, Scaling Laws and  Optimization"
Effective waveforms must balance the needs of both communication and sensing while addressing challenges such as mutual interference and spectrum sharing [21],[21] Spatial Path Index Modulation in mmWave THz-Band Integrated Sensing and  Communications
"For example, index modulation has been explored as a means to incorporate information-bearing communication symbols into emitted radar waveforms [22], achieving improved energy and spectral efficiency while maintaining satisfactory radar sensing performance",[22] Index Modulation for Integrated Sensing and Communications  A Signal  Processing Perspective
"Self-interference, mutual interference, and clutter pose significant challenges that necessitate effective mitigation strategies [16]",[16] Interference Management for Integrated Sensing and Communication  Systems  A Survey
"Additionally, cooperative interference management methods are employed to address cross-link interference in coordinated multipoint ISAC systems [16]",[16] Interference Management for Integrated Sensing and Communication  Systems  A Survey
"Intelligent reflecting surfaces (IRSs), also known as reconfigurable intelligent surfaces (RISs), represent an emerging technology with great potential for enhancing ISAC capabilities [2]","[2] A Survey on Integrated Sensing and Communication with Intelligent  Metasurfaces  Trends, Challenges, and Opportunities"
They can be deployed either as standalone entities placed between transmitters and receivers or integrated directly into ISAC transmitters [2],"[2] A Survey on Integrated Sensing and Communication with Intelligent  Metasurfaces  Trends, Challenges, and Opportunities"
Global standardization bodies like the International Telecommunication Union's Radio communication sector (ITU-R) have recognized ISAC as a key usage scenario for IMT-2030/6G networks [1],[1] Towards Integrated Sensing and Communications for 6G  A Standardization  Perspective
"However, it faces challenges due to self-interference (SI), where the transmitted signal interferes with the received radar echo at the BS [19]",[19] Integrated Sensing and Communication in Coordinated Cellular Networks
"To mitigate SI, sophisticated signal processing techniques and advanced beamforming designs have been proposed [23]",[23] Revealing the Impact of Beamforming in ISAC
"While monostatic ISAC achieves high spectral efficiency and reduces hardware costs, it suffers from limited degrees of freedom (DoFs) due to single observation angles and potential blockage of transmission links [24]",[24] The Degrees-of-Freedom in Monostatic ISAC Channels  NLoS Exploitation  vs. Reduction
"Optimizing transmit power allocation becomes critical to balance communication rate and sensing performance, especially when dealing with non-line-of-sight (NLoS) paths [24]",[24] The Degrees-of-Freedom in Monostatic ISAC Channels  NLoS Exploitation  vs. Reduction
"It provides a unified platform for both functionalities, reducing the need for separate hardware components and enhancing energy efficiency [25]",[25] On the Fundamental Tradeoff of Integrated Sensing and Communications  Under Gaussian Channels
This setup inherently circumvents the SI issues present in monostatic systems by spatially separating signal transmission and reception [19],[19] Integrated Sensing and Communication in Coordinated Cellular Networks
"For instance, in cellular networks, orthogonal frequency division multiplexing (OFDM) signals transmitted from a central BS can be processed by neighboring BSs to estimate object parameters [26]",[26] Multistatic Integrated Sensing and Communication System in Cellular  Networks
"However, multistatic ISAC introduces additional complexity in terms of synchronization, coordination, and resource allocation among distributed nodes [27]",[27] Precoding for Multi-Cell ISAC  from Coordinated Beamforming to  Coordinated Multipoint and Bi-Static Sensing
Efficient joint optimization of transmit and receive beamforming policies becomes essential to minimize sensing beam pattern mismatch errors while meeting quality-of-service (QoS) requirements [19],[19] Integrated Sensing and Communication in Coordinated Cellular Networks
"Although computationally intensive, alternating optimization-based algorithms offer suboptimal solutions that outperform conventional designs [19]",[19] Integrated Sensing and Communication in Coordinated Cellular Networks
These architectures leverage multi-point (CoMP) coordinated joint transmission and distributed multiple-input multiple-output (MIMO) radar techniques to enhance overall system performance [20],"[20] Cooperative ISAC Networks  Performance Analysis, Scaling Laws and  Optimization"
"By deploying multiple ISAC transceivers, cooperative networks benefit from increased degrees of freedom, leading to improved average cooperative sensing performance according to the ln²N scaling law [20]","[20] Cooperative ISAC Networks  Performance Analysis, Scaling Laws and  Optimization"
"Additionally, reconfigurable intelligent surfaces (RIS) play a vital role in augmenting cooperative ISAC performance by manipulating electromagnetic wave propagation characteristics [28]",[28] STAR-RIS-Assisted Communication Radar Coexistence  Analysis and  Optimization
"Specifically, RIS-empowered communications contribute to interference management and coverage extension, addressing key challenges faced by traditional ISAC systems [29]",[29] Channel Modeling in RIS-Empowered Wireless Communications
"Nevertheless, cooperative ISAC poses several challenges, including inter-cell interference mitigation, optimal cluster size determination, and fair resource allocation among users/targets [30]",[30] BS Coordination Optimization in Integrated Sensing and Communication  A  Stochastic Geometric View
"Advanced stochastic geometry tools aid in characterizing communication and sensing performance metrics, facilitating informed decision-making during network planning stages [20]","[20] Cooperative ISAC Networks  Performance Analysis, Scaling Laws and  Optimization"
"Furthermore, low-complexity heuristic algorithms enable practical implementation of BS mode selection strategies, balancing computational overhead against desired performance gains [31]","[31] Joint BS Selection, User Association, and Beamforming Design for Network  Integrated Sensing and Communication"
"By contrast, ISAC leverages a unified framework allowing both sensing and communication functions to operate on the same frequency band [32]",[32] Downlink and Uplink NOMA-ISAC with Signal Alignment
"ISAC systems integrate these operations into a single platform [33], enabling real-time information exchange between sensors and communication nodes, thereby reducing overall system latency",[33] MIMO-ISAC  Performance Analysis and Rate Region Characterization
"For example, in autonomous driving applications where millisecond-level response times are critical, ISAC's simultaneous radar-like sensing and vehicle-to-everything (V2X) communications make it highly advantageous [34]",[34] Integrated Sensing and Communication Signals Toward 5G-A and 6G  A  Survey
