sentence,references
Game theory provides a mathematical framework for analyzing strategic interactions among rational decision-makers [1],[1] Can Large Language Models Serve as Rational Players in Game Theory  A  Systematic Analysis
"By applying game theory to LLMs, we explore whether these models exhibit behaviors consistent with human rationality in games like Rock-Paper-Scissors or the Dictator Game [2]",[2] States as Strings as Strategies  Steering Language Models with  Game-Theoretic Solvers
"However, while LLMs often align closely with human behavior in certain scenarios, they struggle with tasks requiring deeper reasoning, belief refinement, or adaptation to uncommon preferences [1]",[1] Can Large Language Models Serve as Rational Players in Game Theory  A  Systematic Analysis
"Evolutionary computation, another foundational theory, draws inspiration from natural selection and genetic algorithms to simulate adaptive learning dynamics in populations of agents [3]",[3] Mathematics of multi-agent learning systems at the interface of game  theory and artificial intelligence
"For example, introducing memory mechanisms into agent behavior has been shown to enhance cooperation even in non-scale-free networks [4]",[4] Emergence of Cooperation in Non-scale-free Networks
"Additionally, self-motivated agents capable of independently choosing strategies demonstrate potential pathways for developing autonomous, adaptive multi-agent systems [5]",[5] Behavior of Self-Motivated Agents in Complex Networks
Social psychology enriches the theoretical foundation of LLM-based multi-agent systems by exploring human-like collaborative behaviors and mental state inferences [6],[6] Exploring Collaboration Mechanisms for LLM Agents  A Social Psychology  View
"The Theory of Mind (ToM), which refers to an agent's ability to attribute mental states—such as beliefs, intentions, and desires—to itself and others, plays a crucial role in fostering collaboration and enhancing communication between agents [7]",[7] Theory of Mind for Multi-Agent Collaboration via Large Language Models
Studies indicate that LLMs exhibit emergent collaborative behaviors and high-order ToM capabilities but face challenges in managing long-horizon contexts and avoiding task-state hallucinations [7],[7] Theory of Mind for Multi-Agent Collaboration via Large Language Models
"Mean-field game theory addresses scenarios involving infinitely large populations of agents, providing solutions for optimizing both individual and group outcomes [8]",[8] Cooperation Dynamics in Multi-Agent Systems  Exploring Game-Theoretic  Scenarios with Mean-Field Equilibria
"Meanwhile, appraisal network models reveal how interpersonal influence and learning processes affect collective decision-making in teams executing sequential tasks [9]",[9] Dynamic Models of Appraisal Networks Explaining Collective Learning
"Researchers have proposed reconceptualizing LLM training processes as agent learning within language-based games, drawing parallels between reinforcement learning techniques and two-player game strategies [10]",[10] Large Language Models as Agents in Two-Player Games
"These systems find utility across various domains, from healthcare diagnostics to autonomous driving systems [11], demonstrating not only technical feasibility but also highlighting ethical considerations necessary for ensuring safe, fair, and transparent interactions [12]",[11] Playing repeated games with Large Language Models;[12] CERN for AGI  A Theoretical Framework for Autonomous Simulation-Based  Artificial Intelligence Testing and Alignment
"A hierarchical framework is fundamental to organizing agents into layers, where higher-level agents oversee the activities of lower-level ones [13]",[13] Navigating Complexity  Orchestrated Problem Solving with Multi-Agent  LLMs
"Modular designs further bolster the architecture of LLM-based multi-agent systems, allowing for the integration of specialized agents tailored to specific tasks or functions [14]",[14] Agents meet OKR  An Object and Key Results Driven Agent System with  Hierarchical Self-Collaboration and Self-Evaluation
