sentence,references
"These models, particularly those based on the Transformer architecture, leverage attention mechanisms and specialized embeddings to better understand and generate source code [1]",[1] GraphCodeBERT  Pre-training Code Representations with Data Flow
"Papers such as ""What Do Pre-trained Code Models Know About Code?"" highlight how pre-trained models effectively encode source code characteristics, underlining the role of attention mechanisms in capturing both syntactic and semantic information [2]",[2] What do pre-trained code models know about code
"By leveraging the inherent structure of code, GraphCodeBERT enhances its ability to capture semantic-level relationships between variables, crucial for tasks such as code search and refinement [1]",[1] GraphCodeBERT  Pre-training Code Representations with Data Flow
"CSA-Trans, or Code Structure Aware Transformer, utilizes ASTs to enhance the self-attention mechanism by generating specific positional encodings for each node [3]",[3] CSA-Trans  Code Structure Aware Transformer for AST
"To address limitations of vanilla Transformers when handling long sequences of code, SparseCoder employs sliding window mechanisms and sparse attention patterns [4]",[4] SparseCoder  Identifier-Aware Sparse Transformer for File-Level Code  Summarization
Model-Agnostic Syntactical Information for Pre-Trained Programming Language Models introduces lightweight NER adapters inserted into existing Transformer blocks to learn type information extracted from ASTs [5],[5] Model-Agnostic Syntactical Information for Pre-Trained Programming  Language Models
"Efforts to optimize the computational cost of Transformers for code generation include DietCode, which simplifies input programs for CodeBERT by selecting statements and tokens receiving the most attention weights during pre-training [6]",[6] Diet Code Is Healthy  Simplifying Programs for Pre-trained Models of  Code
"Finally, addressing the challenge of long input sequences in code generation, SASA (Structure-Aware Sparse Attention) combines top-k sparse attention with AST-based structure-aware attention to reduce complexity and improve performance [7]",[7] Understanding Long Programming Languages with Structure-Aware Sparse  Attention
One key challenge in applying LLMs to code generation is ensuring that the model's attention aligns with the syntactic structure of programming languages [8],[8] Tree-Planted Transformers  Large Language Models with Implicit Syntactic  Supervision
"For instance, ""Dynamic Context Pruning for Efficient and Interpretable Autoregressive Transformers"" introduces a method to dynamically prune uninformative tokens from the context during inference [9]",[9] Dynamic Context Pruning for Efficient and Interpretable Autoregressive  Transformers
Research has also shown that certain attention heads in transformer-based models exhibit behaviors aligned with linguistic notions like syntax and coreference [10],[10] What Does BERT Look At  An Analysis of BERT's Attention
A study investigating whether LLMs attend to the same parts of a natural language description as human programmers reveals consistent misalignment between model and programmer attention [11],[11] Is Model Attention Aligned with Human Attention  An Empirical Study on  Large Language Models for Code Generation
"Polynomial-based attention schemes have been proposed to reduce the quadratic complexity of self-attention, enabling efficient scaling of models for processing long contexts [12]",[12] The Expressibility of Polynomial based Attention Scheme
"Additionally, sparsity in attention scores represents another avenue for improving efficiency without sacrificing performance [13]",[13] Attention is Naturally Sparse with Gaussian Distributed Input
"Finally, hybrid approaches combining top-$k$ sparse attention with abstract syntax tree (AST)-based structure-aware attention offer promising solutions for addressing limitations imposed by fixed-length sequences [7]",[7] Understanding Long Programming Languages with Structure-Aware Sparse  Attention
Pre-training strategies tailored for code generation tasks have been pivotal in advancing the capabilities of large language models (LLMs) [14],[14] Better Language Models of Code through Self-Improvement
"For example, CodeShell-Base employs a meticulous data pre-processing pipeline, including deduplication and perplexity-based filtering, to curate 100 billion high-quality tokens from GitHub [15]",[15] CodeShell Technical Report
"SynCoBERT exemplifies this approach by introducing syntax-guided multi-modal contrastive pre-training, which leverages both symbolic and syntactic properties of source code [16]",[16] SynCoBERT  Syntax-Guided Multi-Modal Contrastive Pre-Training for Code  Representation
"PALM, for instance, combines autoencoding and autoregressive schemes specifically designed for context-conditioned generation [17]",[17] PALM  Pre-training an Autoencoding&Autoregressive Language Model for  Context-conditioned Generation
"SPT-Code introduces three specialized pre-training tasks aimed at enabling models to learn about code, its structure, and associated natural language descriptions without relying on bilingual corpora [18]",[18] SPT-Code  Sequence-to-Sequence Pre-Training for Learning Source Code  Representations
Importance Guided Data Augmentation for Neural-Based Code Understanding demonstrates the effectiveness of employing code transformation techniques to generate semantically equivalent variations and selecting important ones based on predefined metrics [19],[19] Importance Guided Data Augmentation for Neural-Based Code Understanding
"TRACED, an execution-aware pre-training strategy, combines source code, executable inputs, and corresponding execution traces to teach models complex execution logic [20]",[20] TRACED  Execution-aware Pre-training for Source Code
Text-to-Code Generation with Modality-relative Pre-training investigates adapting sequence tokens differently depending on whether they belong to natural or programming languages [21],[21] Text-to-Code Generation with Modality-relative Pre-training
"What Do Pre-trained Code Models Know About Code? provides insights into probing pre-trained models to evaluate their comprehension of surface-level, syntactic, structural, and semantic information [2]",[2] What do pre-trained code models know about code
"For example, generating unit tests for Java methods has been enhanced through personalized models tailored to specific software projects using custom fine-tuning [22]",[22] Exploring and Evaluating Personalized Models for Code Generation
"This technique achieves competitive results while significantly reducing computational overhead [22], making it suitable for scenarios with limited resources or where rapid deployment is essential",[22] Exploring and Evaluating Personalized Models for Code Generation
"These prefixes function as ""virtual tokens"" that subsequent tokens attend to during generation, thereby reducing the number of trainable parameters and enhancing generalization capabilities, especially in low-data settings [23]",[23] Prefix-Tuning  Optimizing Continuous Prompts for Generation
The study introducing MORepair demonstrates that applying such a multi-objective fine-tuning approach can boost LLM repair performance by 7.6% to 10% in top-10 repair suggestions [24],[24] Multi-Objective Fine-Tuning for Enhanced Program Repair with LLMs
"In the context of code-change-related tasks like Just-In-Time Defect Prediction (JIT-DP) and Commit Message Generation (CMG), AT and LoRA have demonstrated state-of-the-art performances [25]",[25] Delving into Parameter-Efficient Fine-Tuning in Code Change Learning  An  Empirical Study
"MFTCoder facilitates parallel fine-tuning across multiple tasks, overcoming limitations associated with separate fine-tunings for each task [26]",[26] MFTCoder  Boosting Code LLMs with Multitask Fine-Tuning
"To address this, frameworks incorporating layerwise activations of language models have been proposed, ensuring enhanced robustness without compromising modularity or efficiency [27]",[27] On Robust Prefix-Tuning for Text Classification
"By selectively evaluating tensor contributions based on objectives like FLOPs reduction, methods such as GreenTrainer minimize energy consumption while retaining model accuracy [28]",[28] Towards Green AI in Fine-tuning Large Language Models via Adaptive  Backpropagation
"ASTs represent the syntactic structure of source code, providing crucial insights that improve model performance [29]",[29] AST-T5  Structure-Aware Pretraining for Code Generation and  Understanding
"This approach avoids complex program analyses or architectural changes, making it compatible with any encoder-decoder Transformer [29]",[29] AST-T5  Structure-Aware Pretraining for Code Generation and  Understanding
"In this work, the authors introduce auxiliary tasks such as AST paths prediction and data flow prediction, which enhance the quality of generated code [30]",[30] StructCoder  Structure-Aware Transformer for Code Generation
"Moreover, utilizing parse trees or concrete syntax trees (CSTs) enhances data-efficient adaptation of pre-trained code models [31]",[31] Structured Code Representations Enable Data-Efficient Adaptation of Code  Language Models
"The ""Model-Agnostic Syntactical Information for Pre-Trained Programming Language Models"" proposes lightweight modules called NER adapters to learn type information extracted from the AST [5]",[5] Model-Agnostic Syntactical Information for Pre-Trained Programming  Language Models
"Additionally, the fusion of graph representations like ASTs with source code sequences addresses computational challenges posed by long-range dependencies in source code [32]",[32] Graph Conditioned Sparse-Attention for Improved Source Code  Understanding
"The ""Language-Agnostic Representation Learning of Source Code from Structure and Context"" jointly learns from Context (source code) and Structure (parsed abstract syntax tree) using language-agnostic features [33]",[33] Language-Agnostic Representation Learning of Source Code from Structure  and Context
"Efforts have also been made to develop unified frameworks capable of handling diverse downstream tasks efficiently. ""TransformCode"" presents a contrastive learning framework that applies AST transformations to generate robust samples for learning code embeddings [34]",[34] Toward Textual Transform Coding
"Finally, theoretical analyses validate the potential of Transformers to capture tree structures effectively, reinforcing the practical implementations discussed above [35]",[35] Trees in transformers  a theoretical analysis of the Transformer's  ability to represent trees
"Innovations in architectural design, as seen in papers like ""Mamba"" [36] and ""Zebra"" [37], aim to address these issues effectively",[36] Mamba  Linear-Time Sequence Modeling with Selective State Spaces;[37] Zebra  Extending Context Window with Layerwise Grouped Local-Global  Attention
"This design ensures efficient handling of long-range dependencies while maintaining performance, achieving superior results across various modalities, including language, audio, and genomics [36]",[36] Mamba  Linear-Time Sequence Modeling with Selective State Spaces
"Furthermore, Zebra enhances training and inference efficiency, making it suitable for applications requiring deep comprehension and synthesis of vast information [37]",[37] Zebra  Extending Context Window with Layerwise Grouped Local-Global  Attention
BlackMamba demonstrates competitive performance against transformer baselines while reducing inference and training FLOPs substantially [38],[38] BlackMamba  Mixture of Experts for State-Space Models
"Similarly, ""LocalMamba"" adapts Mamba for vision tasks by introducing a novel local scanning strategy that preserves local 2D dependencies in images, enhancing performance on image classification tasks like ImageNet [39]",[39] LocalMamba  Visual State Space Model with Windowed Selective Scan
"FlashConv exploits the recurrent properties of SSMs to scale beyond typical limits, yielding a 2× speedup on the Long Range Arena benchmark and enabling hybrid language models to generate text 2.4× faster than transformers [40]",[40] Hungry Hungry Hippos  Towards Language Modeling with State Space Models
"Compression and sparsity techniques further contribute to reducing computational overhead. ""Learn To Be Efficient"" introduces LTE, an algorithm promoting structured activation sparsity during training, achieving a better trade-off between sparsity and task performance for language generation [41]",[41] Learn To be Efficient  Build Structured Sparsity in Large Language  Models
"Meanwhile, ""Deja Vu"" capitalizes on contextual sparsity to predict small, input-dependent sets of attention heads and MLP parameters, reducing inference latency without compromising quality or in-context learning abilities [42]",[42] Deja Vu  Contextual Sparsity for Efficient LLMs at Inference Time
"AWQ preserves generalization across diverse domains and modalities, offering excellent quantization performance even for instruction-tuned LMs and multimodal LMs [43]",[43] AWQ  Activation-aware Weight Quantization for LLM Compression and  Acceleration
"Complementary work includes ""Gradient-Free Adaptive Global Pruning,"" which decomposes the pruning process into manageable subproblems, ensuring resource-efficient optimization with global optimality [44]",[44] Gradient-Free Adaptive Global Pruning for Pre-trained Language Models
"System-level enhancements further bridge the gap between DRAM capacity and model size. ""LLM in a flash"" explores storing model parameters in flash memory and bringing them on-demand to DRAM, optimizing data transfer and reading sizes through techniques such as ""windowing"" and ""row-column bundling"" [45]",[45] LLM in a flash  Efficient Large Language Model Inference with Limited  Memory
"Additionally, ""Self-Selected Attention Span"" utilizes LLMs' problem-solving capabilities to identify minimal attention spans required for specific tasks, speeding up autoregressive inference through custom CUDA kernels [46]",[46] Self-Selected Attention Span for Accelerating Large Language Model  Inference
"Zero-shot learning represents the simplest form of prompt engineering, where LLMs generate outputs based purely on their pre-trained knowledge without any task-specific fine-tuning or additional examples [2]",[2] What do pre-trained code models know about code
"For instance, studies demonstrate that CodeBERT can produce accurate code summaries when presented with well-structured prompts, relying solely on its foundational understanding of programming concepts [2]",[2] What do pre-trained code models know about code
Techniques such as PET (Pattern-Exploiting Training) and DePT (Decomposed Prompt Tuning) exemplify how few-shot prompting enhances LLM adaptability for specialized tasks [22],[22] Exploring and Evaluating Personalized Models for Code Generation
"For example, including analogous Python functions in a prompt can markedly improve the quality of generated code for data analysis tasks [47]",[47] An Exploratory Study on Code Attention in BERT
"Chain-of-thought reasoning is one such technique, encouraging LLMs to break down problems into logical steps before producing a final solution [48]",[48] Looped Transformers as Programmable Computers
"This method improves the coherence and reliability of generated code, particularly for multi-step computational tasks [49]",[49] CodeArt  Better Code Models by Attention Regularization When Symbols Are  Lacking
"Similarly, conversational prompting enables iterative refinement through interactive dialogues between users and models, allowing progressive enhancement of generated code based on feedback [50]",[50] Parameter-Efficient Finetuning of Transformers for Source Code
"Such systems often retain a memory of prior interactions, facilitating continuous improvement and making them ideal for collaborative coding environments or educational settings [6]",[6] Diet Code Is Healthy  Simplifying Programs for Pre-trained Models of  Code
Automatic prompt generation automates the process of designing effective prompts by analyzing target output characteristics and dynamically adjusting input structures to optimize generation success [4],[4] SparseCoder  Identifier-Aware Sparse Transformer for File-Level Code  Summarization
Research highlights the potential of automated prompt engineering to simplify workflows and reduce the burden on developers who would otherwise need to manually craft intricate prompts [32],[32] Graph Conditioned Sparse-Attention for Improved Source Code  Understanding
"Additionally, ""EchoPrompt"" introduces echo-based prompting strategies that mimic natural human conversation patterns, enhancing the fluency and coherence of generated outputs [51]",[51] EchoPrompt  Instructing the Model to Rephrase Queries for Improved  In-context Learning
PET [52] is a framework designed to improve the efficiency of few-shot learning by pretraining LLMs on auxiliary tasks that share similar patterns with the target task,[52] Identifying Semantic Induction Heads to Understand In-Context Learning
SetFit [53] simplifies the fine-tuning process by reducing the computational overhead associated with traditional methods,[53] Improving BERT with Syntax-aware Local Attention
Decomposed Prompt Tuning (DePT) [54] represents a novel few-shot learning methodology aimed at improving the flexibility and adaptability of LLMs,[54] Two-stage LLM Fine-tuning with Less Specialization and More  Generalization
"Research shows that PET can significantly boost the accuracy of LLMs in tasks involving sentence pair classification, directly applicable to many programming contexts [54]",[54] Two-stage LLM Fine-tuning with Less Specialization and More  Generalization
"Similarly, SetFit has proven successful in enhancing the performance of transformer-based models for text classification tasks, suggesting its potential utility in analyzing and categorizing different types of code [53]",[53] Improving BERT with Syntax-aware Local Attention
The position of instructions within a prompt can greatly influence the model's ability to follow those instructions accurately [55],[55] Instruction Position Matters in Sequence Generation with Large Language  Models
"Papers like ""Tree-Planted Transformers: Large Language Models with Implicit Syntactic Supervision"" explore how modifying attention mechanisms can improve a model's understanding of syntactic structures, thereby enhancing its performance in generating valid and efficient code [8]",[8] Tree-Planted Transformers  Large Language Models with Implicit Syntactic  Supervision
"The paper reveals that LLMs tend to exploit shortcuts or spurious correlations present in prompts, which may result in suboptimal performance if not properly addressed [56]",[56] Large Language Models Can be Lazy Learners  Analyze Shortcuts in  In-Context Learning
"For example, findings indicate that the composition of SFT data plays a crucial role in determining the overall effectiveness of the model across multiple skills [57]",[57] How Abilities in Large Language Models are Affected by Supervised  Fine-tuning Data Composition
"By reducing the computational burden associated with processing long sequences, sparse attention enables models to handle larger and more complex codebases while maintaining high levels of performance [13]",[13] Attention is Naturally Sparse with Gaussian Distributed Input
"Following the discussion on few-shot learning techniques, it is crucial to explore how large language models (LLMs) can extend their capabilities into zero-shot scenarios for natural language-to-code generation [58]",[58] Pretrained Generative Language Models as General Learning Frameworks for  Sequence-Based Tasks
"LLMs, pre-trained on extensive datasets that include both natural language and programming languages, possess an intrinsic understanding of the relationships between textual descriptions and corresponding code snippets [21]",[21] Text-to-Code Generation with Modality-relative Pre-training
"Without explicit fine-tuning, these models leverage their vast knowledge base to generate plausible code solutions when presented with novel problem statements [59]",[59] Enhancing Code Intelligence Tasks with ChatGPT
"Research highlights that LLMs capture syntactic and semantic information during pre-training, allowing for robust program representation at various levels of abstraction [60]",[60] What Do They Capture  -- A Structural Analysis of Pre-Trained Language  Models for Source Code
"By encoding structural properties such as syntax trees and token sequences, LLMs provide representations that facilitate accurate code generation even in unfamiliar contexts [18]",[18] SPT-Code  Sequence-to-Sequence Pre-Training for Learning Source Code  Representations
"Furthermore, execution-aware pre-training enhances the model's understanding of dynamic code properties, improving their ability to predict execution paths and adhere to functional requirements [20]",[20] TRACED  Execution-aware Pre-training for Source Code
"For instance, leveraging abstract syntax trees (ASTs), data flow graphs, and comments enriches the model's contextual understanding [16]",[16] SynCoBERT  Syntax-Guided Multi-Modal Contrastive Pre-Training for Code  Representation
The adaptability of LLMs in handling domain-specific nuances demonstrates their versatility in zero-shot scenarios [61],[61] Incorporating Domain Knowledge through Task Augmentation for Front-End  JavaScript Code Generation
"Practically, LLMs equipped with zero-shot capabilities offer significant advantages for software developers seeking rapid prototyping tools [62]",[62] CodeRL  Mastering Code Generation through Pretrained Models and Deep  Reinforcement Learning
Ambiguities in problem statements and insufficient contextual clues may lead to suboptimal results [19],[19] Importance Guided Data Augmentation for Neural-Based Code Understanding
Benchmarks like CoderEval reveal strengths and weaknesses of LLMs in pragmatic code generation tasks [63],[63] CoderEval  A Benchmark of Pragmatic Code Generation with Generative  Pre-trained Models
"Through comprehensive pre-training and methodologies incorporating structural and contextual information, these models deliver impressive results across various programming languages and domains [64]",[64] UniXcoder  Unified Cross-Modal Pre-training for Code Representation
"As research progresses, enhancements in model architectures, pre-training techniques, and evaluation frameworks promise to unlock new possibilities in this field, bridging into discussions on evaluating and optimizing these techniques further [65]",[65] Data Fine-tuning
"This subsection focuses on comparing traditional fine-tuning methods with prompt tuning approaches, drawing insights from key papers such as ""Exploring Parameter-Efficient Fine-Tuning Techniques for Code Generation with Large Language Models"" and ""No More Fine-Tuning.""
Traditional fine-tuning modifies all parameters of large language models (LLMs), making it computationally intensive but highly effective when ample labeled data is available [24]",[24] Multi-Objective Fine-Tuning for Enhanced Program Repair with LLMs
"In contrast, prompt tuning offers a parameter-efficient alternative by optimizing task-specific vectors without altering the underlying model architecture [23]",[23] Prefix-Tuning  Optimizing Continuous Prompts for Generation
"For example, the HumanEval benchmark evaluates whether generated code passes predefined test cases [26]",[26] MFTCoder  Boosting Code LLMs with Multitask Fine-Tuning
